time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-10T23:26:00.300Z,19.1863327026367,-155.486999511719,34.5999984741211,2.17000008,md,36,73,,0.119999997,hv,hv72347207,2021-02-10T23:29:16.750Z,"2 km SSW of Pāhala, Hawaii",earthquake,0.55,1.01999998,1.13999999,16,automatic,hv,hv
2021-02-10T23:24:39.930Z,19.2535,-64.905,35,3.49,md,9,336,1.4581,0.31,pr,pr2021041014,2021-02-11T03:01:02.040Z,"100 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.87,22.53,0.12,5,reviewed,pr,pr
2021-02-10T23:20:13.455Z,62.0995,-151.0899,79.6,2.6,ml,,,,0.36,ak,ak0211w6uiia,2021-02-10T23:33:10.061Z,"20 km NE of Skwentna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-02-10T23:16:18.200Z,32.7491667,-115.8183333,10.58,1,ml,15,88,0.1262,0.17,ci,ci39548135,2021-02-11T00:15:54.601Z,"16km E of Ocotillo, CA",earthquake,0.33,0.86,0.147,6,reviewed,ci,ci
2021-02-10T23:14:06.530Z,45.8013333333333,-122.479,-1.01,1.18,ml,10,274,0.1377,0.16,uw,uw61712981,2021-02-11T01:42:28.710Z,"3 km ESE of Lewisville, Washington",explosion,1.2,31.61,0.287620233036752,4,reviewed,uw,uw
2021-02-10T23:13:55.780Z,19.2328338623047,-155.383834838867,31.8999996185303,1.83000004,md,27,147,,0.109999999,hv,hv72347192,2021-02-10T23:16:58.690Z,"10 km ENE of Pāhala, Hawaii",earthquake,0.69,0.839999974,0.140000001,5,automatic,hv,hv
2021-02-10T23:07:43.930Z,18.0073,-67.1563,16,2.51,md,16,213,0.0467,0.15,pr,pr2021041013,2021-02-10T23:34:59.157Z,"2 km SSE of Boquerón, Puerto Rico",earthquake,0.47,0.35,0.37,15,reviewed,pr,pr
2021-02-10T23:07:12.670Z,38.8224983,-122.8568344,2.38,1.66,md,34,99,0.005039,0.04,nc,nc73521321,2021-02-10T23:53:05.398Z,"10km WNW of The Geysers, CA",earthquake,0.23,0.36,0.15,9,automatic,nc,nc
2021-02-10T23:06:34.390Z,32.7521667,-115.8191667,10.07,1.12,ml,14,105,0.1244,0.18,ci,ci39548119,2021-02-11T00:13:40.658Z,"16km E of Ocotillo, CA",earthquake,0.33,1.15,0.284,9,reviewed,ci,ci
2021-02-10T22:54:18.960Z,-23.157,171.6385,10,5.4,mb,,56,8.07,0.89,us,us6000dgfj,2021-02-11T00:57:14.923Z,"southeast of the Loyalty Islands",earthquake,10.8,1.9,0.055,113,reviewed,us,us
2021-02-10T22:52:12.360Z,35.6395,-117.4435,8.12,0.9,ml,18,120,0.05504,0.1,ci,ci39548079,2021-02-11T00:08:36.120Z,"15km SSW of Searles Valley, CA",earthquake,0.24,0.48,0.186,10,reviewed,ci,ci
2021-02-10T22:48:56.590Z,32.7533333,-115.814,9.89,1.48,ml,21,77,0.1208,0.19,ci,ci39548071,2021-02-11T00:05:14.507Z,"17km E of Ocotillo, CA",earthquake,0.31,0.77,0.243,13,reviewed,ci,ci
2021-02-10T22:38:02.595Z,-22.5967,171.2109,10,5.1,mb,,64,8.035,0.91,us,us6000dgfl,2021-02-10T23:09:38.040Z,"southeast of the Loyalty Islands",earthquake,13.9,1.8,0.119,23,reviewed,us,us
2021-02-10T22:31:07.267Z,37.9787,69.6015,10,4.6,mb,,58,2.281,0.97,us,us6000dgf7,2021-02-10T22:52:47.040Z,"7 km S of Sovet, Tajikistan",earthquake,7.4,1.9,0.083,44,reviewed,us,us
2021-02-10T22:27:52.370Z,37.6873322,-118.8748322,-0.39,1.28,md,11,154,0.04065,0.04,nc,nc73521311,2021-02-11T02:35:04.046Z,"11km ENE of Mammoth Lakes, CA",earthquake,0.28,0.99,0.21,12,automatic,nc,nc
2021-02-10T22:23:10.600Z,63.1377,-150.7172,103.3,2.4,ml,,,,2.76,ak,ak0211w69pom,2021-02-10T22:30:23.433Z,"67 km SE of Denali National Park, Alaska",earthquake,,1.3,,,automatic,ak,ak
2021-02-10T22:21:11.088Z,-19.4216,-71.1705,33.16,4.4,mb,,157,1.306,0.66,us,us6000dgf4,2021-02-10T22:44:12.040Z,"138 km NW of Iquique, Chile",earthquake,6,8.2,0.19,8,reviewed,us,us
2021-02-10T22:15:54.212Z,44.3048,-115.1689,11.53,2.5,ml,,65,0.171,0.87,us,us6000dgf3,2021-02-10T22:59:15.190Z,"20 km WNW of Stanley, Idaho",earthquake,2,7.9,0.059,38,reviewed,us,us
